layer_0,layer_1,file_name
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_75899.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_78489.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_78668.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_80161.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_82869.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_85003.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_85758.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_88810.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_92274.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_92847.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_93084.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_93972.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_94118.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_94734.csv
